iter	Passed	Remaining
678	192690	91095
679	192968	90808
680	193337	90565
681	193641	90290
682	193997	90039
683	194266	89748
684	194556	89467
685	194785	89158
686	195012	88848
687	195217	88529
688	195409	88203
689	195613	87884
690	195847	87578
691	196161	87308
692	196367	86990
693	196573	86673
694	196797	86364
695	197029	86058
696	197299	85770
697	197637	85510
698	198312	85396
699	198796	85198
700	199148	84943
701	199416	84652
702	199654	84348
703	199904	84050
704	200239	83788
705	200557	83518
706	200807	83220
707	201038	82914
708	201290	82617
709	201506	82305
710	201748	82004
711	202020	81715
712	202240	81406
713	202461	81098
714	202683	80790
715	202897	80478
716	203114	80169
717	203316	79854
718	203539	79547
719	203760	79240
720	203975	78930
721	204192	78622
722	204406	78313
723	204617	78003
724	204821	77690
725	205025	77378
726	205243	77072
727	205423	76751
728	205598	76429
729	205777	76109
730	205954	75788
731	206136	75470
732	206318	75152
733	206496	74834
734	206675	74515
735	206852	74197
736	207033	73880
737	207245	73574
738	207457	73269
739	207645	72956
740	207837	72644
741	208028	72333
742	208225	72024
743	208419	71714
744	208610	71403
745	208807	71095
746	209024	70794
747	209226	70488
748	209414	70177
749	209599	69866
750	209789	69557
751	210010	69258
752	210390	69012
753	210611	68714
754	210828	68414
755	211065	68121
756	211270	67818
757	211458	67510
758	211636	67199
759	211812	66888
760	211997	66580
761	212175	66270
762	212371	65965
763	212567	65662
764	212747	65353
765	212931	65046
766	213127	64744
767	213304	64435
768	213510	64136
769	213746	63846
770	214047	63575
771	214258	63278
772	214476	62983
773	214659	62678
774	214851	62376
775	215062	62080
776	215295	61790
777	215673	61541
778	215934	61260
779	216343	61019
780	216581	60731
781	217134	60531
782	217873	60381
783	218398	60170
784	218741	59910
785	219156	59668
786	219515	59411
787	219939	59171
788	220368	58932
789	220772	58686
790	221157	58434
791	221580	58192
792	221852	57911
793	222075	57616
794	222425	57355
795	222867	57116
796	223255	56864
797	223502	56575
798	223762	56290
799	224460	56115
800	225110	55926
801	225604	55697
802	226233	55501
803	226778	55284
804	227345	55071
805	227583	54778
806	227819	54484
807	228190	54223
808	228579	53966
809	228947	53703
810	229179	53409
811	229502	53136
812	229921	52884
813	230344	52633
814	230587	52341
815	230937	52074
816	231341	51818
817	231788	51571
818	232171	51310
819	232379	51010
820	232715	50738
821	233104	50477
822	233679	50256
823	233991	49978
824	234374	49715
825	234795	49460
826	235077	49175
827	235303	48879
828	235509	48579
829	235723	48280
830	235927	47980
831	236126	47679
832	236347	47382
833	236579	47088
834	236775	46787
835	236977	46488
836	237187	46190
837	237383	45890
838	237586	45591
839	237799	45295
840	238002	44996
841	238190	44696
842	238387	44397
843	238573	44096
844	238763	43796
845	238944	43495
846	239145	43198
847	239330	42898
848	239511	42598
849	239694	42298
850	239875	41999
851	240056	41699
852	240241	41401
853	240428	41103
854	240610	40805
855	240793	40507
856	240980	40210
857	241163	39912
858	241346	39615
859	241534	39319
860	241715	39022
861	241897	38726
862	242079	38429
863	242264	38134
864	242446	37838
865	242626	37542
866	242807	37247
867	242990	36952
868	243173	36657
869	243351	36362
870	243534	36068
871	243716	35774
872	243897	35481
873	244081	35187
874	244263	34894
875	244488	34607
876	244690	34318
877	244886	34027
878	245069	33735
879	245281	33447
880	245458	33154
881	245663	32866
882	245842	32574
883	246025	32283
884	246203	31992
885	246381	31701
886	246562	31410
887	246741	31120
888	246918	30830
889	247104	30540
890	247282	30251
891	247476	29963
892	247653	29674
893	247831	29384
894	248012	29096
895	248220	28811
896	248405	28523
897	248583	28235
898	248761	27947
899	248942	27660
900	249124	27373
901	249303	27086
902	249492	26800
903	249722	26519
904	249910	26233
905	250133	25952
906	250353	25670
907	250549	25386
908	250771	25104
909	250970	24821
910	251158	24536
911	251334	24251
912	251510	23966
913	251686	23681
914	251869	23397
915	252057	23114
916	252235	22830
917	252419	22547
918	252626	22266
919	252810	21983
920	252998	21701
921	253176	21418
922	253378	21137
923	253559	20855
924	253739	20573
925	253918	20291
926	254101	20010
927	254277	19728
928	254455	19447
929	254632	19165
930	254811	18885
931	254993	18604
932	255170	18324
933	255347	18043
934	255524	17763
935	255704	17484
936	255887	17204
937	256063	16925
938	256243	16646
939	256420	16367
940	256597	16088
941	256777	15810
942	256956	15531
943	257134	15253
944	257312	14975
945	257492	14698
946	257670	14420
947	257846	14143
948	258046	13867
949	258224	13590
950	258401	13314
951	258577	13037
952	258759	12761
953	258946	12485
954	259129	12210
955	259317	11935
956	259516	11660
957	259719	11386
958	259914	11112
959	260128	10838
960	260352	10565
961	260556	10292
962	260803	10020
963	261006	9747
964	261227	9474
965	261436	9201
966	261651	8929
967	261890	8657
968	262101	8385
969	262298	8112
970	262517	7840
971	262714	7567
972	262933	7296
973	263143	7024
974	263358	6752
975	263555	6480
976	263771	6209
977	263976	5938
978	264189	5666
979	264394	5395
980	264590	5124
981	264793	4853
982	264999	4582
983	265199	4312
984	265395	4041
985	265600	3771
986	265810	3501
987	266014	3230
988	266214	2960
989	266408	2690
990	266603	2421
991	266801	2151
992	267026	1882
993	267227	1613
994	267449	1343
995	267660	1074
996	267869	806
997	268076	537
998	268276	268
999	268476	0
